# This is an energyscan from ideadb.uibk.ac.at
# It shows C3HNO- coming from Uracil (C4H4N2O2)
# Creation date: Dec. 30, 2004
# It was published in "Electron attachment to gas-phase uracil" in Journal of Chemical Physics in 2004
# DOI: 10.1063/1.1649724
# Further information: http://ideadb.uibk.ac.at/view/37
# Electron Energy	1/s
0.014600	0.000000
0.044020	0.002800
0.073440	0.002800
0.102860	0.002800
0.132280	0.005600
0.161700	0.000000
0.191120	0.000000
0.220540	0.000000
0.249960	0.000000
0.279380	0.000000
0.308800	0.002800
0.338220	0.002800
0.367640	0.000000
0.397060	0.000000
0.426480	0.000000
0.455900	0.002800
0.485320	0.000000
0.514740	0.002800
0.544160	0.002800
0.573580	0.000000
0.603000	0.005600
0.632420	0.000000
0.661840	0.000000
0.691260	0.000000
0.720680	0.000000
0.750100	0.000000
0.779520	0.002800
0.808940	0.000000
0.838360	0.000000
0.867780	0.002800
0.897200	0.000000
0.926620	0.000000
0.956040	0.000000
0.985460	0.000000
1.014880	0.000000
1.044300	0.000000
1.073720	0.002800
1.103140	0.000000
1.132560	0.000000
1.161980	0.000000
1.191400	0.002800
1.220820	0.002800
1.250240	0.000000
1.279660	0.002800
1.309080	0.000000
1.338500	0.011190
1.367920	0.000000
1.397340	0.000000
1.426760	0.005600
1.456180	0.002800
1.485600	0.002800
1.515020	0.002800
1.544440	0.000000
1.573860	0.005600
1.603280	0.002800
1.632700	0.002800
1.662120	0.005600
1.691540	0.005600
1.720960	0.005600
1.750380	0.002800
1.779800	0.013990
1.809220	0.005600
1.838640	0.011190
1.868060	0.005600
1.897480	0.008400
1.926900	0.005600
1.956320	0.019590
1.985740	0.005600
2.015160	0.005600
2.044580	0.002800
2.074000	0.000000
2.103420	0.011190
2.132840	0.005600
2.162260	0.002800
2.191680	0.002800
2.221100	0.008400
2.250520	0.005600
2.279940	0.002800
2.309360	0.002800
2.338780	0.008400
2.368200	0.008400
2.397620	0.002800
2.427040	0.002800
2.456460	0.002800
2.485880	0.002800
2.515300	0.002800
2.544720	0.005600
2.574140	0.008400
2.603560	0.005600
2.632980	0.002800
2.662400	0.005600
2.691820	0.002800
2.721240	0.011190
2.750660	0.000000
2.780080	0.008400
2.809500	0.002800
2.838920	0.013990
2.868340	0.008400
2.897760	0.000000
2.927180	0.005600
2.956600	0.000000
2.986020	0.002800
3.015440	0.000000
3.044860	0.005600
3.074280	0.002800
3.103700	0.005600
3.133120	0.008400
3.162540	0.002800
3.191960	0.005600
3.221380	0.002800
3.250800	0.002800
3.280220	0.002800
3.309640	0.002800
3.339060	0.013990
3.368480	0.008400
3.397900	0.008400
3.427320	0.011190
3.456740	0.008400
3.486160	0.013990
3.515580	0.008400
3.545000	0.013990
3.574420	0.016790
3.603840	0.025190
3.633260	0.030780
3.662680	0.036380
3.692100	0.022390
3.721520	0.044780
3.750940	0.041980
3.780360	0.055970
3.809780	0.075560
3.839200	0.069960
3.868620	0.086750
3.898040	0.097950
3.927460	0.106340
3.956880	0.111940
3.986300	0.134330
4.015720	0.137130
4.045140	0.229480
4.074560	0.260260
4.103980	0.313430
4.133400	0.316230
4.162820	0.386190
4.192240	0.383400
4.221660	0.447760
4.251080	0.447760
4.280500	0.576490
4.309920	0.682840
4.339340	0.677240
4.368760	0.696830
4.398180	0.996270
4.427600	0.881530
4.457020	0.996270
4.486440	1.164180
4.515860	1.379660
4.545280	1.368470
4.574700	1.634330
4.604120	1.651120
4.633540	1.897390
4.662960	1.894590
4.692380	2.236010
4.721800	2.182840
4.751220	2.389930
4.780640	2.420710
4.810060	2.622200
4.839480	2.736940
4.868900	2.980410
4.898320	2.910450
4.927740	2.787310
4.957160	2.946830
4.986580	3.047570
5.016000	3.114740
5.045420	2.960820
5.074840	2.983210
5.104260	3.008400
5.133680	2.986010
5.163100	3.053170
5.192520	2.932840
5.221940	3.064370
5.251360	2.932840
5.280780	2.969220
5.310200	3.055970
5.339620	3.005600
5.369040	2.857280
5.398460	2.812500
5.427880	2.862870
5.457300	2.678170
5.486720	2.694960
5.516140	2.753730
5.545560	2.756530
5.574980	2.711750
5.604400	2.557840
5.633820	2.485070
5.663240	2.409510
5.692660	2.641790
5.722080	2.510260
5.751500	2.608210
5.780920	2.473880
5.810340	2.303170
5.839760	2.322760
5.869180	2.238810
5.898600	2.199630
5.928020	2.308770
5.957440	2.174440
5.986860	2.174440
6.016280	2.182840
6.045700	1.967350
6.075120	1.897390
6.104540	1.942160
6.133960	1.877800
6.163380	1.810630
6.192800	1.701490
6.222220	1.673510
6.251640	1.569960
6.281060	1.511190
6.310480	1.469220
6.339900	1.332090
6.369320	1.309700
6.398740	1.150190
6.428160	1.175370
6.457580	1.029850
6.487000	1.099810
6.516420	0.973880
6.545840	1.060630
6.575260	0.853540
6.604680	0.859140
6.634100	0.996270
6.663520	0.819960
6.692940	0.895520
6.722360	0.847950
6.751780	0.744400
6.781200	0.803170
6.810620	0.601680
6.840040	0.755600
6.869460	0.660450
6.898880	0.615670
6.928300	0.741600
6.957720	0.677240
6.987140	0.668840
7.016560	0.668840
7.045980	0.722010
7.075400	0.719220
7.104820	0.828360
7.134240	0.766790
7.163660	0.744400
7.193080	0.780780
7.222500	0.702430
7.251920	0.934700
7.281340	0.800370
7.310760	0.895520
7.340180	0.915110
7.369600	0.945900
7.399020	1.041040
7.428440	0.940300
7.457860	1.029850
7.487280	1.192160
7.516700	1.074630
7.546120	0.999070
7.575540	1.267720
7.604960	1.127800
7.634380	1.192160
7.663800	1.287310
7.693220	1.208960
7.722640	1.166980
7.752060	1.306900
7.781480	1.267720
7.810900	1.248130
7.840320	1.360070
7.869740	1.318100
7.899160	1.323690
7.928580	1.323690
7.958000	1.477610
7.987420	1.253730
8.016840	1.360070
8.046260	1.264930
8.075680	1.236940
8.105100	1.250930
8.134520	1.318100
8.163940	1.203360
8.193360	1.326490
8.222780	1.276120
8.252200	1.309700
8.281620	1.239740
8.311040	1.169780
8.340460	1.189370
8.369880	1.175370
8.399300	1.217350
8.428720	1.192160
8.458140	1.166980
8.487560	1.144590
8.516980	1.116600
8.546400	1.077430
8.575820	1.183770
8.605240	1.192160
8.634660	1.060630
8.664080	1.127800
8.693500	1.055040
8.722920	1.024250
8.752340	1.105410
8.781760	0.973880
8.811180	0.990670
8.840600	1.001870
8.870020	0.814370
8.899440	0.937500
8.928860	0.833960
8.958280	0.839550
8.987700	0.873130
9.017120	0.901120
9.046540	0.797570
9.075960	0.699630
9.105380	0.783580
9.134800	0.730410
9.164220	0.747200
9.193640	0.819960
9.223060	0.680040
9.252480	0.640860
9.281900	0.652050
9.311320	0.671640
9.340740	0.640860
9.370160	0.598880
9.399580	0.610070
9.429000	0.607280
9.458420	0.498130
9.487840	0.573690
9.517260	0.526120
9.546680	0.576490
9.576100	0.604480
9.605520	0.590490
9.634940	0.584890
9.664360	0.615670
9.693780	0.486940
9.723200	0.492540
9.752620	0.498130
9.782040	0.554100
9.811460	0.548510
9.840880	0.498130
9.870300	0.461750
9.899720	0.576490
9.929140	0.593280
9.958560	0.526120
9.987980	0.486940
10.017400	0.470150
10.046820	0.428170
10.076240	0.587690
10.105660	0.484140
10.135080	0.556900
10.164500	0.458960
10.193920	0.548510
10.223340	0.453360
10.252760	0.492540
10.282180	0.425370
10.311600	0.464550
10.341020	0.428170
10.370440	0.484140
10.399860	0.450560
10.429280	0.464550
10.458700	0.416980
10.488120	0.458960
10.517540	0.405780
10.546960	0.422570
10.576380	0.436570
10.605800	0.397390
10.635220	0.344220
10.664640	0.416980
10.694060	0.472950
10.723480	0.400190
10.752900	0.408580
10.782320	0.375000
10.811740	0.372200
10.841160	0.394590
10.870580	0.355410
10.900000	0.358210
10.929420	0.402990
10.958840	0.400190
10.988260	0.302240
11.017680	0.349810
11.047100	0.347010
11.076520	0.349810
11.105940	0.344220
11.135360	0.394590
11.164780	0.341420
11.194200	0.333020
11.223620	0.319030
11.253040	0.307840
11.282460	0.316230
11.311880	0.316230
11.341300	0.221080
11.370720	0.321830
11.400140	0.305040
11.429560	0.277050
11.458980	0.288250
11.488400	0.263060
11.517820	0.249070
11.547240	0.279850
11.576660	0.288250
11.606080	0.285450
11.635500	0.282650
11.664920	0.257460
11.694340	0.232280
11.723760	0.279850
11.753180	0.246270
11.782600	0.215490
11.812020	0.218280
11.841440	0.268660
11.870860	0.165110
11.900280	0.201490
11.929700	0.159510
11.959120	0.195900
11.988540	0.232280
12.017960	0.193100
12.047380	0.195900
12.076800	0.193100
12.106220	0.165110
12.135640	0.207090
12.165060	0.159510
12.194480	0.165110
12.223900	0.179100
12.253320	0.117540
12.282740	0.148320
12.312160	0.106340
12.341580	0.159510
12.371000	0.145520
12.400420	0.139930
12.429840	0.181900
12.459260	0.137130
12.488680	0.137130
12.518100	0.128730
12.547520	0.123130
12.576940	0.153920
12.606360	0.111940
12.635780	0.111940
12.665200	0.139930
12.694620	0.123130
12.724040	0.106340
12.753460	0.100750
12.782880	0.100750
12.812300	0.075560
12.841720	0.142720
12.871140	0.114740
12.900560	0.106340
12.929980	0.095150
12.959400	0.100750
12.988820	0.097950
13.018240	0.109140
13.047660	0.055970
13.077080	0.125930
13.106500	0.089550
13.135920	0.061570
13.165340	0.128730
13.194760	0.067160
13.224180	0.100750
