# This is an energyscan from ideadb.uibk.ac.at
# It shows C4H2N2O2- coming from Uracil (C4H4N2O2)
# Creation date: Dec. 30, 2004
# It was published in "Electron attachment to gas-phase uracil" in Journal of Chemical Physics in 2004
# DOI: 10.1063/1.1649724
# Further information: http://ideadb.uibk.ac.at/view/42
# Electron Energy	1/s
-0.504500	0.000011
-0.475080	0.000005
-0.445660	0.000041
-0.416240	0.000050
-0.386820	0.000306
-0.357400	0.000050
-0.327980	0.000041
-0.298560	-0.000017
-0.269140	0.000016
-0.239720	0.000009
-0.210300	0.000066
-0.180880	-0.000040
-0.151460	0.000253
-0.122040	-0.000038
-0.092620	0.000537
-0.063200	0.001440
-0.033780	0.005330
-0.004360	0.010650
0.025060	0.013330
0.054480	0.020900
0.083900	0.026410
0.113320	0.023060
0.142740	0.029330
0.172160	0.036440
0.201580	0.029290
0.231000	0.026870
0.260420	0.034370
0.289840	0.024990
0.319260	0.029050
0.348680	0.021930
0.378100	0.018430
0.407520	0.016890
0.436940	0.017060
0.466360	0.011060
0.495780	0.008610
0.525200	0.010530
0.554620	0.009690
0.584040	0.005700
0.613460	0.005460
0.642880	0.005930
0.672300	0.005620
0.701720	0.004590
0.731140	0.006170
0.760560	0.005900
0.789980	0.003550
0.819400	0.004450
0.848820	0.003240
0.878240	0.004350
0.907660	0.002660
0.937080	0.004150
0.966500	0.002670
0.995920	0.003700
1.025340	0.004760
1.054760	0.003970
1.084180	0.003710
1.113600	0.005670
1.143020	0.003350
1.172440	0.003220
1.201860	0.003140
1.231280	0.002140
1.260700	0.003100
1.290120	0.003630
1.319540	0.002730
1.348960	0.003450
1.378380	0.004770
1.407800	0.003590
1.437220	0.003830
1.466640	0.003810
1.496060	0.005530
1.525480	0.003640
1.554900	0.003710
1.584320	0.004800
1.613740	0.005690
1.643160	0.005140
1.672580	0.004140
1.702000	0.003070
1.731420	0.002030
1.760840	0.002020
1.790260	0.002190
1.819680	0.001800
1.849100	0.002070
1.878520	0.002880
1.907940	0.001850
1.937360	0.001970
1.966780	0.001300
1.996200	0.002140
2.025620	0.001590
2.055040	0.001220
2.084460	0.001990
2.113880	0.003300
2.143300	0.001220
2.172720	0.001940
2.202140	0.001720
2.231560	0.001560
2.260980	0.001360
2.290400	0.001280
2.319820	0.001940
2.349240	0.000888
2.378660	0.000770
2.408080	0.001520
2.437500	0.000638
2.466920	0.000573
2.496340	0.000668
2.525760	0.001210
2.555180	0.000454
2.584600	0.001760
2.614020	0.001690
2.643440	0.001990
2.672860	0.001960
2.702280	0.002460
2.731700	0.001260
2.761120	0.000933
2.790540	0.001030
2.819960	0.000947
2.849380	0.000750
2.878800	0.000980
2.908220	0.000855
2.937640	0.001080
2.967060	0.000843
2.996480	0.002370
3.025900	0.000752
3.055320	0.000442
3.084740	0.000898
3.114160	0.000637
3.143580	0.000295
3.173000	0.001170
3.202420	0.001270
3.231840	0.001050
3.261260	0.000801
3.290680	0.000712
3.320100	0.001390
3.349520	0.000621
3.378940	0.000405
3.408360	0.000629
3.437780	0.001090
3.467200	0.000491
3.496620	0.000460
3.526040	0.000175
3.555460	0.000419
3.584880	0.000228
3.614300	0.000305
3.643720	0.001160
3.673140	0.001180
3.702560	0.000954
3.731980	0.000387
3.761400	0.000863
3.790820	0.000286
3.820240	0.000725
3.849660	0.000293
3.879080	0.001100
3.908500	0.000559
3.937920	0.000355
3.967340	0.001140
3.996760	0.000801
4.026180	0.001110
4.055600	0.001540
4.085020	0.001790
4.114440	0.001670
4.143860	0.001120
4.173280	0.001090
4.202700	0.000451
4.232120	0.000971
4.261540	0.001350
4.290960	0.001900
4.320380	0.001490
4.349800	0.002580
4.379220	0.002360
4.408640	0.002360
4.438060	0.001170
4.467480	0.001920
4.496900	0.002050
4.526320	0.001270
4.555740	0.001070
4.585160	0.002250
4.614580	0.001630
4.644000	0.001840
4.673420	0.002210
4.702840	0.002000
4.732260	0.003840
4.761680	0.001870
4.791100	0.001280
4.820520	0.001930
4.849940	0.001310
4.879360	0.001980
4.908780	0.001630
4.938200	0.002110
4.967620	0.002150
4.997040	0.002430
5.026460	0.001870
5.055880	0.003100
5.085300	0.001430
5.114720	0.001230
5.144140	0.001300
5.173560	0.000677
5.202980	0.000522
5.232400	0.000601
5.261820	0.000913
5.291240	0.000993
5.320660	0.001080
5.350080	0.001100
5.379500	0.001610
5.408920	0.001080
5.438340	0.000805
5.467760	0.000963
5.497180	0.000901
5.526600	0.000886
5.556020	0.000741
5.585440	0.000807
5.614860	0.001260
5.644280	0.001080
5.673700	0.000777
5.703120	0.000891
5.732540	0.000754
5.761960	0.001070
5.791380	0.003010
5.820800	0.003670
5.850220	0.001190
5.879640	0.002150
5.909060	0.002350
5.938480	0.002220
5.967900	0.002990
5.997320	0.004310
6.026740	0.006130
6.056160	0.007240
6.085580	0.007170
6.115000	0.006980
6.144420	0.009070
6.173840	0.007490
6.203260	0.010180
6.232680	0.011020
6.262100	0.012550
6.291520	0.016210
6.320940	0.017980
6.350360	0.019000
6.379780	0.022150
6.409200	0.023520
6.438620	0.023120
6.468040	0.033720
6.497460	0.031350
6.526880	0.033870
6.556300	0.038730
6.585720	0.044960
6.615140	0.046750
6.644560	0.052020
6.673980	0.060530
6.703400	0.061120
6.732820	0.064740
6.762240	0.071780
6.791660	0.075690
6.821080	0.091080
6.850500	0.094780
6.879920	0.097370
6.909340	0.110970
6.938760	0.109820
6.968180	0.120740
6.997600	0.128790
7.027020	0.133270
7.056440	0.128760
7.085860	0.136620
7.115280	0.137970
7.144700	0.140580
7.174120	0.141140
7.203540	0.149960
7.232960	0.142960
7.262380	0.150170
7.291800	0.143120
7.321220	0.141470
7.350640	0.142760
7.380060	0.136800
7.409480	0.135490
7.438900	0.139600
7.468320	0.130360
7.497740	0.121820
7.527160	0.124650
7.556580	0.114150
7.586000	0.118760
7.615420	0.115910
7.644840	0.110160
7.674260	0.098060
7.703680	0.108800
7.733100	0.091320
7.762520	0.086650
7.791940	0.085880
7.821360	0.084930
7.850780	0.079920
7.880200	0.080340
7.909620	0.074010
7.939040	0.074440
7.968460	0.073860
7.997880	0.068180
8.027300	0.066630
8.056720	0.058490
8.086140	0.059340
8.115560	0.057020
8.144980	0.054100
8.174400	0.046450
8.203820	0.048720
8.233240	0.042140
