# This is an energyscan from ideadb.uibk.ac.at
# It shows CH2COOH- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/54
# Electron Energy	1/s
-0.870000	0.010600
-0.850000	0.000000
-0.830000	0.005300
-0.810000	0.000000
-0.790000	0.005300
-0.770000	0.010600
-0.750000	0.005300
-0.730000	0.000000
-0.710000	0.005300
-0.690000	0.010600
-0.670000	0.005300
-0.650000	0.005300
-0.630000	0.000000
-0.610000	0.010600
-0.590000	0.005300
-0.570000	0.000000
-0.550000	0.000000
-0.530000	0.005300
-0.510000	0.000000
-0.490000	0.005300
-0.470000	0.000000
-0.450000	0.000000
-0.430000	0.010600
-0.410000	0.000000
-0.390000	0.015900
-0.370000	0.005300
-0.350000	0.005300
-0.330000	0.000000
-0.310000	0.000000
-0.290000	0.005300
-0.270000	0.000000
-0.250000	0.000000
-0.230000	0.000000
-0.210000	0.000000
-0.190000	0.000000
-0.170000	0.005300
-0.150000	0.000000
-0.130000	0.005300
-0.110000	0.000000
-0.090000	0.021210
-0.070000	0.031810
-0.050000	0.031810
-0.030000	0.058320
-0.010000	0.116630
0.010000	0.159050
0.030000	0.243870
0.050000	0.222670
0.070000	0.254480
0.090000	0.185560
0.110000	0.270380
0.130000	0.164350
0.150000	0.164350
0.170000	0.132540
0.190000	0.143140
0.210000	0.148440
0.230000	0.127240
0.250000	0.090130
0.270000	0.058320
0.290000	0.031810
0.310000	0.053020
0.330000	0.026510
0.350000	0.031810
0.370000	0.026510
0.390000	0.010600
0.410000	0.010600
0.430000	0.021210
0.450000	0.026510
0.470000	0.031810
0.490000	0.026510
0.510000	0.015900
0.530000	0.021210
0.550000	0.015900
0.570000	0.010600
0.590000	0.015900
0.610000	0.037110
0.630000	0.000000
0.650000	0.010600
0.670000	0.021210
0.690000	0.021210
0.710000	0.010600
0.730000	0.010600
0.750000	0.021210
0.770000	0.010600
0.790000	0.010600
0.810000	0.015900
0.830000	0.021210
0.850000	0.037110
0.870000	0.021210
0.890000	0.010600
0.910000	0.026510
0.930000	0.021210
0.950000	0.010600
0.970000	0.026510
0.990000	0.015900
1.010000	0.031810
1.030000	0.026510
1.050000	0.005300
1.070000	0.042410
1.090000	0.010600
1.110000	0.010600
1.130000	0.010600
1.150000	0.047710
1.170000	0.005300
1.190000	0.015900
1.210000	0.031810
1.230000	0.026510
1.250000	0.042410
1.270000	0.026510
1.290000	0.005300
