# This is an energyscan from ideadb.uibk.ac.at
# It shows NCO- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/60
# Electron Energy	1/s
-1.082630	0.004500
-1.044360	0.000900
-1.006060	0.001400
-0.967720	0.000800
-0.929350	0.001200
-0.890940	0.001000
-0.852490	0.000600
-0.814020	0.001400
-0.775500	0.000800
-0.736950	0.000500
-0.698370	0.000600
-0.659750	0.000800
-0.621090	0.000800
-0.582410	0.000200
-0.543680	0.001100
-0.504920	0.000900
-0.466120	0.000500
-0.427290	0.000800
-0.388430	0.000700
-0.349530	0.001300
-0.310590	0.000900
-0.271620	0.000700
-0.232610	0.000900
-0.193570	0.001100
-0.154490	0.001500
-0.115380	0.000600
-0.076230	0.001000
-0.037050	0.001100
0.002170	0.000500
0.041420	0.001400
0.080710	0.001200
0.120040	0.000800
0.159400	0.000700
0.198790	0.000800
0.238220	0.001500
0.277680	0.000900
0.317180	0.000600
0.356720	0.000600
0.396290	0.000500
0.435900	0.000700
0.475540	0.000500
0.515210	0.001200
0.554930	0.001600
0.594670	0.000400
0.634450	0.000600
0.674270	0.000500
0.714120	0.000600
0.754010	0.000900
0.793930	0.001200
0.833890	0.001000
0.873890	0.001300
0.913910	0.000700
0.953980	0.001200
0.994080	0.002000
1.034210	0.001600
1.074380	0.000900
1.114590	0.001100
1.154830	0.001400
1.195100	0.001600
1.235410	0.001700
1.275760	0.002100
1.316140	0.001000
1.356550	0.002100
1.397000	0.001600
1.437490	0.002100
1.478010	0.000500
1.518570	0.001700
1.559160	0.001800
1.599790	0.001500
1.640450	0.001600
1.681150	0.001900
1.721880	0.001400
1.762650	0.001100
1.803460	0.001500
1.844290	0.001400
1.885170	0.001900
1.926080	0.001700
1.967020	0.001100
2.008000	0.001600
2.049020	0.001500
2.090070	0.001400
2.131150	0.002300
2.172270	0.002500
2.213430	0.002100
2.254620	0.002100
2.295850	0.001400
2.337110	0.002400
2.378400	0.002100
2.419740	0.001800
2.461100	0.000900
2.502510	0.001400
2.543940	0.002100
2.585420	0.002200
2.626930	0.001000
2.668470	0.000900
2.710050	0.002200
2.751660	0.002100
2.793310	0.002400
2.834990	0.001400
2.876710	0.002500
2.918470	0.002000
2.960260	0.002000
3.002080	0.001100
3.043940	0.000500
3.085840	0.001200
3.127770	0.001200
3.169740	0.001500
3.211740	0.001300
3.253780	0.001500
3.295850	0.000900
3.337950	0.001700
3.380100	0.001600
3.422270	0.001400
3.464490	0.001600
3.506730	0.001200
3.549020	0.001400
3.591340	0.001600
3.633690	0.000900
3.676080	0.001400
3.718500	0.002400
3.760960	0.002000
3.803460	0.002100
3.845990	0.002000
3.888550	0.002600
3.931150	0.002600
3.973790	0.002300
4.016460	0.003200
4.059160	0.002900
4.101910	0.002800
4.144680	0.003100
4.187490	0.005000
4.230340	0.002000
4.273220	0.004500
4.316140	0.007000
4.359090	0.005700
4.402080	0.005800
4.445100	0.006500
4.488160	0.009200
4.531250	0.009600
4.574380	0.010400
4.617550	0.012900
4.660750	0.014600
4.703980	0.015200
4.747250	0.017600
4.790560	0.019000
4.833900	0.018900
4.877270	0.024900
4.920680	0.026800
4.964130	0.026800
5.007610	0.030400
5.051120	0.034000
5.094680	0.031400
5.138260	0.037200
5.181880	0.042800
5.225540	0.047100
5.269230	0.049300
5.312960	0.050200
5.356720	0.058000
5.400520	0.057900
5.444360	0.058000
5.488220	0.058500
5.532130	0.062500
5.576070	0.064500
5.620040	0.062400
5.664050	0.065100
5.708090	0.060600
5.752170	0.055900
5.796290	0.054900
5.840440	0.056300
5.884630	0.053800
5.928850	0.053900
5.973100	0.050500
6.017390	0.044900
6.061720	0.044900
6.106080	0.034200
6.150480	0.034300
6.194910	0.034300
6.239380	0.030600
6.283880	0.033700
6.328420	0.029600
6.372990	0.028400
6.417600	0.023800
6.462240	0.022400
6.506920	0.020400
6.551640	0.018400
6.596390	0.018400
6.641170	0.016900
6.685990	0.016200
6.730840	0.012800
6.775730	0.015200
6.820660	0.013600
6.865620	0.013700
6.910620	0.016200
6.955650	0.015200
7.000710	0.012000
7.045810	0.012500
7.090950	0.012800
7.136120	0.013300
7.181330	0.014500
7.226570	0.015300
7.271850	0.013700
7.317160	0.013600
7.362510	0.014900
7.407900	0.012500
7.453310	0.016100
7.498770	0.015700
7.544260	0.012800
7.589780	0.014800
7.635340	0.015200
7.680930	0.016600
7.726560	0.013300
7.772230	0.019100
7.817930	0.017600
7.863670	0.018100
7.909440	0.016900
7.955240	0.019000
8.001080	0.017100
8.046960	0.017700
8.092870	0.019000
8.138820	0.017500
8.184800	0.020100
8.230820	0.019300
8.276870	0.020400
8.322960	0.019300
8.369080	0.019800
8.415240	0.020300
8.461430	0.022200
8.507660	0.019500
8.553930	0.020900
8.600230	0.020300
8.646560	0.020400
8.692930	0.019500
8.739340	0.024100
8.785780	0.021800
8.832250	0.019900
8.878760	0.021500
8.925310	0.021500
8.971890	0.016400
9.018510	0.018200
9.065160	0.016300
9.111840	0.017600
9.158570	0.018600
9.205320	0.019800
9.252120	0.018700
9.298940	0.015600
9.345810	0.017000
9.392700	0.015200
9.439640	0.017900
9.486610	0.013900
9.533610	0.015000
9.580650	0.014800
9.627720	0.012000
9.674830	0.012200
9.721980	0.013800
9.769160	0.010100
9.816370	0.013600
9.863620	0.011800
9.910910	0.009800
9.958230	0.012600
10.005590	0.010100
10.052980	0.012100
10.100400	0.009500
10.147870	0.009700
10.195360	0.010100
10.242900	0.008300
10.290460	0.008200
10.338070	0.008100
10.385700	0.007500
10.433380	0.008900
