# This is an energyscan from ideadb.uibk.ac.at
# It shows C2H4N- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/61
# Electron Energy	1/s
-1.082630	0.011400
-1.044360	0.000100
-1.006060	0.000000
-0.967720	0.000000
-0.929350	0.000000
-0.890940	0.000000
-0.852490	0.000000
-0.814020	0.000100
-0.775500	0.000000
-0.736950	0.000000
-0.698370	0.000000
-0.659750	0.000000
-0.621090	0.000000
-0.582410	0.000000
-0.543680	0.000000
-0.504920	0.000100
-0.466120	0.000000
-0.427290	0.000000
-0.388430	0.000000
-0.349530	0.000000
-0.310590	0.000000
-0.271620	0.000000
-0.232610	0.000100
-0.193570	0.000000
-0.154490	0.000000
-0.115380	0.000000
-0.076230	0.000100
-0.037050	0.000200
0.002170	0.000000
0.041420	0.000000
0.080710	0.000200
0.120040	0.000100
0.159400	0.000100
0.198790	0.000200
0.238220	0.000000
0.277680	0.000100
0.317180	0.000000
0.356720	0.000000
0.396290	0.000000
0.435900	0.000000
0.475540	0.000100
0.515210	0.000000
0.554930	0.000000
0.594670	0.000000
0.634450	0.000000
0.674270	0.000000
0.714120	0.000000
0.754010	0.000000
0.793930	0.000000
0.833890	0.000000
0.873890	0.000000
0.913910	0.000000
0.953980	0.000000
0.994080	0.000000
1.034210	0.000100
1.074380	0.000000
1.114590	0.000000
1.154830	0.000000
1.195100	0.000000
1.235410	0.000100
1.275760	0.000000
1.316140	0.000100
1.356550	0.000000
1.397000	0.000100
1.437490	0.000000
1.478010	0.000000
1.518570	0.000000
1.559160	0.000000
1.599790	0.000100
1.640450	0.000000
1.681150	0.000000
1.721880	0.000100
1.762650	0.000000
1.803460	0.000100
1.844290	0.000100
1.885170	0.000100
1.926080	0.000000
1.967020	0.000000
2.008000	0.000000
2.049020	0.000000
2.090070	0.000000
2.131150	0.000000
2.172270	0.000000
2.213430	0.000000
2.254620	0.000000
2.295850	0.000000
2.337110	0.000000
2.378400	0.000000
2.419740	0.000000
2.461100	0.000100
2.502510	0.000000
2.543940	0.000000
2.585420	0.000000
2.626930	0.000100
2.668470	0.000000
