# This is an energyscan from ideadb.uibk.ac.at
# It shows O- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/66
# Electron Energy	1/s
0.013550	0.003250
0.066890	0.000083
0.120240	0.000167
0.173580	0.000083
0.226920	0.000250
0.280260	0.000000
0.333600	0.000333
0.386950	0.000083
0.440290	0.000167
0.493630	0.000000
0.546980	0.000167
0.600320	0.000250
0.653660	0.000250
0.707000	0.000333
0.760350	0.000417
0.813690	0.000167
0.867030	0.000167
0.920370	0.000250
0.973710	0.000167
1.027060	0.000333
1.080400	0.000333
1.133740	0.000167
1.187090	0.000083
1.240430	0.000333
1.293770	0.000000
1.347110	0.000083
1.400460	0.000583
1.453800	0.000083
1.507140	0.000167
1.560480	0.000083
1.613820	0.000083
1.667170	0.000083
1.720510	0.000167
1.773850	0.000083
1.827200	0.000000
1.880540	0.000000
1.933880	0.000000
1.987220	0.000167
2.040570	0.000083
2.093910	0.000000
2.147250	0.000083
2.200590	0.000250
2.253930	0.000167
2.307280	0.000083
2.360620	0.000167
2.413960	0.000000
2.467310	0.000167
2.520650	0.000250
2.573990	0.000250
2.627330	0.000250
2.680680	0.000417
2.734020	0.000167
2.787360	0.000250
2.840700	0.000333
2.894050	0.000417
2.947390	0.000250
3.000730	0.000750
3.054070	0.000583
3.107420	0.000500
3.160760	0.000750
3.214100	0.001000
3.267440	0.001000
3.320780	0.001330
3.374130	0.002250
3.427470	0.001830
3.480810	0.001830
3.534150	0.002250
3.587500	0.002750
3.640840	0.003330
3.694180	0.002830
3.747530	0.002420
3.800870	0.003080
3.854210	0.003170
3.907550	0.002580
3.960900	0.003670
4.014240	0.004500
4.067580	0.002670
4.120920	0.003330
4.174270	0.002920
4.227610	0.003250
4.280950	0.002080
4.334290	0.002920
4.387630	0.003580
4.440980	0.002920
4.494320	0.002670
4.547660	0.001830
4.601010	0.002670
4.654350	0.001500
4.707690	0.002000
4.761030	0.002000
4.814380	0.002000
4.867720	0.003000
4.921060	0.002170
4.974400	0.002500
5.027750	0.002580
5.081090	0.002000
5.134430	0.003330
5.187770	0.002830
5.241120	0.003000
5.294460	0.004330
5.347800	0.001920
5.401140	0.002330
5.454490	0.003420
5.507830	0.003080
5.561170	0.003670
5.614510	0.002670
5.667850	0.003670
5.721200	0.002920
5.774540	0.001670
5.827880	0.002750
5.881230	0.003580
5.934570	0.002670
5.987910	0.004000
6.041250	0.002830
6.094600	0.003580
6.147940	0.003750
6.201280	0.004170
6.254620	0.003920
6.307970	0.005420
6.361310	0.004080
6.414650	0.006670
6.467990	0.005330
6.521330	0.004670
6.574680	0.005830
6.628020	0.006670
6.681360	0.006750
6.734700	0.007750
6.788050	0.008580
6.841390	0.006500
6.894730	0.008170
6.948070	0.006830
7.001420	0.007420
7.054760	0.006830
7.108100	0.007670
7.161440	0.007170
7.214790	0.007330
7.268130	0.007750
7.321470	0.005920
7.374810	0.008000
7.428160	0.007500
7.481500	0.007420
7.534840	0.007920
7.588180	0.011250
7.641530	0.009080
7.694870	0.009670
7.748210	0.010330
7.801560	0.009330
7.854900	0.010830
7.908240	0.011170
7.961580	0.010670
8.014920	0.012170
8.068270	0.014000
8.121610	0.017250
8.174950	0.012750
8.228290	0.015920
8.281640	0.014580
8.334980	0.015670
8.388320	0.014920
8.441670	0.017250
8.495010	0.017920
8.548350	0.017080
8.601690	0.017670
8.655030	0.017920
8.708380	0.020670
8.761720	0.020500
8.815060	0.020580
8.868410	0.021580
8.921750	0.020330
8.975090	0.024670
9.028430	0.026250
9.081780	0.023920
9.135120	0.021330
9.188460	0.021170
9.241800	0.023420
9.295140	0.024420
9.348490	0.022750
9.401830	0.021920
9.455170	0.022920
9.508520	0.021330
9.561860	0.022080
9.615200	0.023580
9.668540	0.021920
9.721890	0.023920
9.775230	0.025580
9.828570	0.021830
9.881910	0.023080
9.935260	0.020330
9.988600	0.019250
10.041940	0.017830
10.095280	0.019080
10.148630	0.016330
10.201970	0.016080
10.255310	0.018170
10.308650	0.017000
10.362000	0.016250
10.415340	0.013420
10.468680	0.017000
10.522020	0.017420
10.575370	0.015420
10.628710	0.012830
10.682050	0.018080
10.735390	0.015420
10.788730	0.015580
10.842080	0.015500
10.895420	0.017170
10.948760	0.016670
11.002110	0.016080
11.055450	0.015170
11.108790	0.017750
11.162130	0.017080
11.215480	0.015170
11.268820	0.015080
11.322160	0.017330
11.375500	0.017920
11.428840	0.014920
11.482190	0.015170
11.535530	0.014920
11.588870	0.015830
11.642220	0.013830
11.695560	0.012000
11.748900	0.015000
11.802240	0.012670
11.855590	0.012420
11.908930	0.014080
11.962270	0.012580
12.015610	0.013580
12.068960	0.013420
12.122300	0.013170
12.175640	0.011080
12.228980	0.012920
12.282330	0.011750
12.335670	0.010420
12.389010	0.010000
12.442350	0.008920
12.495700	0.008670
12.549040	0.010500
12.602380	0.010000
12.655720	0.010500
12.709070	0.007750
12.762410	0.009420
12.815750	0.009170
12.869090	0.009830
12.922440	0.007250
12.975780	0.007420
13.029120	0.007170
13.082460	0.007500
13.135810	0.006830
13.189150	0.007000
13.242490	0.007830
13.295830	0.006750
13.349180	0.006000
13.402520	0.008080
13.455860	0.006170
13.509200	0.006580
13.562550	0.005080
13.615890	0.005420
13.669230	0.005500
13.722570	0.006250
13.775920	0.007500
13.829260	0.005750
13.882600	0.005830
13.935940	0.003420
13.989290	0.005330
14.042630	0.006170
14.095970	0.005420
14.149310	0.003580
14.202660	0.005080
14.256000	0.004580
14.309340	0.004330
14.362680	0.004420
14.416020	0.005250
14.469370	0.005330
14.522710	0.004000
14.576050	0.005920
14.629400	0.004750
14.682740	0.005580
14.736080	0.005170
14.789420	0.004000
14.842770	0.004500
14.896110	0.005000
14.949450	0.004670
15.002790	0.003580
15.056140	0.004750
15.109480	0.003420
15.162820	0.003830
15.216160	0.004500
15.269510	0.003670
15.322850	0.004920
15.376190	0.001920
15.429530	0.004670
15.482880	0.003500
15.536220	0.004580
15.589560	0.003250
15.642900	0.004500
15.696240	0.003500
15.749590	0.003170
15.802930	0.004920
15.856270	0.003500
