#ELEN started at 31-Aug-2012 17:09:11 by	
#Electron Energy: 	T=10.0; P=0.0e+000; M=125; R=50
-0.5	0
-0.49	0
-0.48	0.01
-0.47	0
-0.46	0.01
-0.45	0.03
-0.44	0.01
-0.43	0.01
-0.42	0.02
-0.41	0.02
-0.4	0.01
-0.39	0
-0.38	0.01
-0.37	0.02
-0.36	0
-0.35	0.02
-0.34	0.01
-0.33	0
-0.32	0
-0.31	0.02
-0.3	0.02
-0.29	0
-0.28	0
-0.27	0.03
-0.26	0.01
-0.25	0.03
-0.24	0.03
-0.23	0
-0.22	0.03
-0.21	0.03
-0.2	0.01
-0.19	0.03
-0.18	0.03
-0.17	0
-0.16	0.1
-0.15	0.03
-0.14	0.05
-0.13	0.05
-0.12	0.15
-0.11	0.09
-0.1	0.08
-0.09	0.17
-0.08	0.22
-0.07	0.33
-0.06	0.2
-0.05	0.35
-0.04	0.47
-0.03	0.65
-0.02	0.84
-0.01	1.27
0	1.29
0.01	1.64
0.02	1.91
0.03	2.38
0.04	2.61
0.05	2.53
0.06	2.38
0.07	1.74
0.08	1.37
0.09	1.24
0.1	0.94
0.11	0.78
0.12	0.75
0.13	0.7
0.14	0.69
0.15	0.64
0.16	0.48
0.17	0.42
0.18	0.37
0.19	0.41
0.2	0.36
0.21	0.4
0.22	0.41
0.23	0.25
0.24	0.35
0.25	0.25
0.26	0.21
0.27	0.31
0.28	0.29
0.29	0.26
0.3	0.27
0.31	0.34
0.32	0.33
0.33	0.3
0.34	0.22
0.35	0.17
0.36	0.35
0.37	0.25
0.38	0.24
0.39	0.22
0.4	0.25
0.41	0.29
0.42	0.22
0.43	0.23
0.44	0.24
0.45	0.3
0.46	0.26
0.47	0.28
0.48	0.23
0.49	0.27
0.5	0.13
0.51	0.14
0.52	0.26
0.53	0.25
0.54	0.15
0.55	0.2
0.56	0.15
0.57	0.17
0.58	0.23
0.59	0.22
0.6	0.26
0.61	0.25
0.62	0.22
0.63	0.29
0.64	0.22
0.65	0.21
0.66	0.19
0.67	0.27
0.68	0.23
0.69	0.27
0.7	0.19
0.71	0.16
0.72	0.17
0.73	0.28
0.74	0.21
0.75	0.19
0.76	0.36
0.77	0.27
0.78	0.38
0.79	0.38
0.8	0.24
0.81	0.27
0.82	0.26
0.83	0.28
0.84	0.23
0.85	0.35
0.86	0.31
0.87	0.23
0.88	0.33
0.89	0.33
0.9	0.28
0.91	0.37
0.92	0.26
0.93	0.32
0.94	0.34
0.95	0.35
0.96	0.24
0.97	0.28
0.98	0.24
0.99	0.22
1	0.3
1.01	0.3
1.02	0.23
1.03	0.29
1.04	0.23
1.05	0.18
1.06	0.17
1.07	0.28
1.08	0.15
1.09	0.18
1.1	0.19
1.11	0.21
1.12	0.15
1.13	0.26
1.14	0.18
1.15	0.17
1.16	0.14
1.17	0.16
1.18	0.27
1.19	0.15
1.2	0.18
1.21	0.13
1.22	0.17
1.23	0.1
1.24	0.14
1.25	0.15
1.26	0.15
1.27	0.12
1.28	0.1
1.29	0.16
1.3	0.23
1.31	0.15
1.32	0.12
1.33	0.2
1.34	0.15
1.35	0.16
1.36	0.16
1.37	0.13
1.38	0.11
1.39	0.1
1.4	0.16
1.41	0.12
1.42	0.15
1.43	0.16
1.44	0.14
1.45	0.19
1.46	0.07
1.47	0.17
1.48	0.14
1.49	0.1
1.5	0.13
1.51	0.13
1.52	0.14
1.53	0.16
1.54	0.14
1.55	0.18
1.56	0.06
1.57	0.08
1.58	0.14
1.59	0.16
1.6	0.11
1.61	0.13
1.62	0.1
1.63	0.08
1.64	0.13
1.65	0.16
1.66	0.13
1.67	0.09
1.68	0.12
1.69	0.06
1.7	0.1
1.71	0.08
1.72	0.1
1.73	0.06
1.74	0.06
1.75	0.11
1.76	0.1
1.77	0.12
1.78	0.06
1.79	0.09
1.8	0.1
1.81	0.05
1.82	0.04
1.83	0.08
1.84	0.09
1.85	0.08
1.86	0.11
1.87	0.07
1.88	0.09
1.89	0.06
1.9	0.16
1.91	0.06
1.92	0.04
1.93	0.12
1.94	0.11
1.95	0.12
1.96	0.05
1.97	0.07
1.98	0.09
1.99	0.1
2	0.06
2.01	0.1
2.02	0.11
2.03	0.1
2.04	0.01
2.05	0.04
2.06	0.05
2.07	0.09
2.08	0.05
2.09	0.09
2.1	0.06
2.11	0.1
2.12	0.08
2.13	0.05
2.14	0.07
2.15	0.04
2.16	0.08
2.17	0.03
2.18	0.04
2.19	0.03
2.2	0.05
2.21	0.02
2.22	0.04
2.23	0.02
2.24	0.07
2.25	0.06
2.26	0.08
2.27	0.03
2.28	0.03
2.29	0.07
2.3	0.06
2.31	0.06
2.32	0.03
2.33	0.05
2.34	0.06
2.35	0.05
2.36	0.07
2.37	0.03
2.38	0.13
2.39	0.06
2.4	0.07
2.41	0.05
2.42	0.07
2.43	0.06
2.44	0.03
2.45	0.05
2.46	0.03
2.47	0.09
2.48	0.03
2.49	0.02
2.5	0.03
2.51	0.05
2.52	0.04
2.53	0.05
2.54	0.08
2.55	0.04
2.56	0.09
2.57	0.05
2.58	1.23
2.59	0.31
2.6	0.59
2.61	0.05
2.62	0.04
2.63	0.04
2.64	0.02
2.65	0.04
2.66	0.03
2.67	0.05
2.68	0.06
2.69	0.06
2.7	0.01
2.71	0.02
2.72	0.01
2.73	0.09
2.74	0.02
2.75	0.04
2.76	0.02
2.77	0.01
2.78	0.02
2.79	0.05
2.8	0.07
2.81	0.05
2.82	0.05
2.83	0.06
2.84	0.02
2.85	0.03
2.86	0.03
2.87	0.03
2.88	0.03
2.89	0.05
2.9	0.06
2.91	0.03
2.92	0.03
2.93	0.06
2.94	0.05
2.95	0.02
2.96	0.04
2.97	0.02
2.98	0.06
2.99	0.03
3	0.02
3.01	0.05
3.02	0.05
3.03	0.03
3.04	0.02
3.05	0.02
3.06	0.08
3.07	0.03
3.08	0.05
3.09	0.04
3.1	0.03
3.11	0.05
3.12	0.1
3.13	0.04
3.14	0.02
3.15	0.04
3.16	0.02
3.17	0.03
3.18	0.02
3.19	0.03
3.2	0.02
3.21	0.04
3.22	0.03
3.23	0.07
3.24	0.04
3.25	0.04
3.26	0.04
3.27	0.02
3.28	0.03
3.29	0.05
3.3	0.04
3.31	0.04
3.32	0.03
