# This is an energyscan from ideadb.uibk.ac.at
# It shows OCN- coming from Uracil (C4H4N2O2)
# Creation date: Dec. 30, 2004
# It was published in "Electron attachment to gas-phase uracil" in Journal of Chemical Physics in 2004
# DOI: 10.1063/1.1649724
# Further information: http://ideadb.uibk.ac.at/view/36
# Electron Energy	1/s
0.000000	0.133860
0.020040	0.111630
0.040080	0.178580
0.060120	0.178310
0.080160	0.134400
0.100200	0.200040
0.120240	0.112310
0.140280	0.179210
0.160320	0.222730
0.180360	0.150300
0.200400	0.213400
0.220440	0.123200
0.240480	0.138400
0.260520	0.134040
0.280560	0.103600
0.300600	0.101310
0.320640	0.121260
0.340680	0.098570
0.360720	0.124630
0.380760	0.100270
0.400800	0.140670
0.420840	0.095320
0.440880	0.068340
0.460920	0.100360
0.480960	0.060000
0.501000	0.062590
0.521040	0.082590
0.541080	0.063910
0.561120	0.072850
0.581160	0.117180
0.601200	0.154990
0.621240	0.093170
0.641280	0.074400
0.661320	0.110030
0.681360	0.073800
0.701400	0.079040
0.721440	0.112150
0.741480	0.096500
0.761520	0.129470
0.781560	0.135550
0.801600	0.174070
0.821640	0.113910
0.841680	0.093870
0.861720	0.168900
0.881760	0.120580
0.901800	0.075600
0.921840	0.111430
0.941880	0.065900
0.961920	0.078840
0.981960	0.129030
1.002000	0.069090
1.022040	0.099460
1.042080	0.138140
1.062120	0.085840
1.082160	0.140610
1.102200	0.084910
1.122240	0.136210
1.142280	0.106420
1.162320	0.123960
1.182360	0.108720
1.202400	0.115660
1.222440	0.137890
1.242480	0.167150
1.262530	0.181690
1.282570	0.150810
1.302610	0.160370
1.322650	0.132190
1.342690	0.169870
1.362730	0.165830
1.382770	0.142780
1.402810	0.132670
1.422850	0.125100
1.442890	0.185480
1.462930	0.109120
1.482970	0.107670
1.503010	0.071090
1.523050	0.095360
1.543090	0.163460
1.563130	0.151580
1.583170	0.148990
1.603210	0.196300
1.623250	0.344280
1.643290	0.332900
1.663330	0.259790
1.683370	0.234710
1.703410	0.316280
1.723450	0.473120
1.743490	0.387150
1.763530	0.359280
1.783570	0.345780
1.803610	0.425890
1.823650	0.459840
1.843690	0.451280
1.863730	0.420900
1.883770	0.366960
1.903810	0.463790
1.923850	0.489910
1.943890	0.431550
1.963930	0.555880
1.983970	0.583940
2.004010	0.701230
2.024050	0.652760
2.044090	0.658690
2.064130	0.702710
2.084170	0.736070
2.104210	0.628210
2.124250	0.682230
2.144290	0.590900
2.164330	0.559590
2.184370	0.614340
2.204410	0.544580
2.224450	0.691140
2.244490	0.731530
2.264530	0.556310
2.284570	0.595490
2.304610	0.663780
2.324650	0.636410
2.344690	0.581580
2.364730	0.589450
2.384770	0.614120
2.404810	0.693560
2.424850	0.734170
2.444890	0.665200
2.464930	0.520130
2.484970	0.491940
2.505010	0.532020
2.525050	0.582250
2.545090	0.441450
2.565130	0.409450
2.585170	0.404150
2.605210	0.315530
2.625250	0.255720
2.645290	0.385400
2.665330	0.386560
2.685370	0.411340
2.705410	0.247310
2.725450	0.334630
2.745490	0.374500
2.765530	0.358400
2.785570	0.296100
2.805610	0.368090
2.825650	0.244200
2.845690	0.301620
2.865730	0.313930
2.885770	0.189730
2.905810	0.289270
2.925850	0.212470
2.945890	0.229910
2.965930	0.219100
2.985970	0.221570
3.006010	0.205410
3.026050	0.200930
3.046090	0.293820
3.066130	0.373010
3.086170	0.372830
3.106210	0.419890
3.126250	0.390260
3.146290	0.478910
3.166330	0.393010
3.186370	0.362460
3.206410	0.377130
3.226450	0.433240
3.246490	0.475130
3.266530	0.531740
3.286570	0.639000
3.306610	0.735640
3.326650	0.873000
3.346690	0.684610
3.366730	0.699580
3.386770	0.788690
3.406810	0.874560
3.426850	0.956080
3.446890	1.010320
3.466930	0.885610
3.486970	1.152790
3.507010	1.215020
3.527050	1.236090
3.547090	1.218980
3.567130	1.366040
3.587170	1.598610
3.607210	1.945350
3.627250	2.348970
3.647290	2.460130
3.667330	2.770000
3.687370	3.165500
3.707410	3.294600
3.727450	3.567660
3.747490	3.773270
3.767540	4.364240
3.787580	4.605580
3.807620	4.770410
3.827660	5.156720
3.847700	5.381250
3.867740	5.718190
3.887780	6.140120
3.907820	6.600780
3.927860	7.211850
3.947900	7.891650
3.967940	8.228500
3.987980	8.545930
4.008020	9.153270
4.028060	9.791320
4.048100	10.088860
4.068140	10.582730
4.088180	11.006460
4.108220	11.550700
4.128260	12.211090
4.148300	12.678480
4.168340	13.351070
4.188380	14.075430
4.208420	13.531210
4.228460	13.810590
4.248500	15.159690
4.268540	15.749920
4.288580	15.221710
4.308620	16.007520
4.328660	17.201670
4.348700	17.380600
4.368740	17.676460
4.388780	18.406310
4.408820	19.112690
4.428860	19.626910
4.448900	19.641590
4.468940	20.223140
4.488980	20.789690
4.509020	21.139630
4.529060	21.215380
4.549100	21.646620
4.569140	22.450590
4.589180	23.375090
4.609220	23.712930
4.629260	23.366550
4.649300	24.070740
4.669340	24.773390
4.689380	24.705850
4.709420	25.295510
4.729460	25.701560
4.749500	25.685170
4.769540	26.105600
4.789580	26.701150
4.809620	26.485670
4.829660	26.289480
4.849700	27.056500
4.869740	27.062190
4.889780	26.502370
4.909820	26.190690
4.929860	26.309170
4.949900	26.346830
4.969940	26.398020
4.989980	26.617890
5.010020	26.911750
5.030060	26.615690
5.050100	26.277330
5.070140	26.123150
5.090180	26.007080
5.110220	25.330340
5.130260	24.753310
5.150300	24.734400
5.170340	24.271810
5.190380	24.160930
5.210420	24.450140
5.230460	24.473850
5.250500	24.134090
5.270540	24.699560
5.290580	24.517980
5.310620	23.865170
5.330660	24.520760
5.350700	24.516230
5.370740	24.406570
5.390780	24.736910
5.410820	25.081060
5.430860	25.303940
5.450900	25.167860
5.470940	25.038920
5.490980	26.485270
5.511020	27.699220
5.531060	27.672940
5.551100	28.089900
5.571140	28.708860
5.591180	29.649690
5.611220	30.910790
5.631260	31.915720
5.651300	32.331210
5.671340	32.616770
5.691380	34.271040
5.711420	35.180360
5.731460	35.309380
5.751500	36.103150
5.771540	37.782520
5.791580	39.078550
5.811620	39.835440
5.831660	41.453360
5.851700	42.911620
5.871740	43.212540
5.891780	44.483790
5.911820	46.280830
5.931860	48.149580
5.951900	49.214810
5.971940	49.992120
5.991980	50.444580
6.012020	50.870680
6.032060	51.541050
6.052100	52.949820
6.072140	54.436500
6.092180	55.991490
6.112220	57.014880
6.132260	57.056430
6.152300	59.183290
6.172340	59.404590
6.192380	59.578620
6.212420	59.004330
6.232460	59.859510
6.252510	60.031130
6.272550	60.326060
6.292590	62.265400
6.312630	61.024100
6.332670	61.942420
6.352710	62.820030
6.372750	62.531370
6.392790	63.617180
6.412830	63.898850
6.432870	63.171090
6.452910	65.490160
6.472950	66.018350
6.492990	65.743020
6.513030	66.253190
6.533070	68.385850
6.553110	67.845290
6.573150	68.103180
6.593190	69.132480
6.613230	69.041100
6.633270	69.698200
6.653310	71.535480
6.673350	71.827880
6.693390	71.590740
6.713430	71.867990
6.733470	72.002500
6.753510	71.835340
6.773550	70.819400
6.793590	71.158750
6.813630	71.530680
6.833670	70.414020
6.853710	70.544910
6.873750	70.814510
6.893790	70.347400
6.913830	70.276120
6.933870	69.712390
6.953910	68.983990
6.973950	69.088410
6.993990	67.879320
7.014030	67.729270
7.034070	66.187140
7.054110	66.448990
7.074150	65.493110
7.094190	62.363160
7.114230	61.831090
7.134270	61.340630
7.154310	60.507700
7.174350	58.495790
7.194390	56.944330
7.214430	55.632000
7.234470	54.673580
7.254510	53.417090
7.274550	51.138390
7.294590	49.290020
7.314630	49.583290
7.334670	48.668080
7.354710	46.464320
7.374750	44.915640
7.394790	43.200280
7.414830	44.409950
7.434870	42.341310
7.454910	41.186570
7.474950	39.975070
7.494990	39.388500
7.515030	38.788180
7.535070	36.420800
7.555110	35.296500
7.575150	33.855650
7.595190	34.382510
7.615230	33.181400
7.635270	33.125420
7.655310	32.107780
7.675350	30.719280
7.695390	31.231680
7.715430	31.627760
7.735470	30.250450
7.755510	29.017290
7.775550	28.805900
7.795590	28.686500
7.815630	28.567670
7.835670	27.167610
7.855710	26.916330
7.875750	28.117140
7.895790	27.855840
7.915830	26.839750
7.935870	26.469830
7.955910	26.394440
7.975950	25.954150
7.995990	25.194640
8.016030	24.666810
8.036070	24.810000
8.056110	24.126530
8.076150	23.569910
8.096190	22.937020
8.116230	23.794460
8.136270	23.750590
8.156310	22.969990
8.176350	23.923660
8.196390	23.664220
8.216430	23.637330
8.236470	22.946710
8.256510	22.159950
8.276550	20.916250
8.296590	21.005100
8.316630	21.412010
8.336670	21.141780
8.356710	20.716820
8.376750	20.607960
8.396790	20.642630
8.416830	20.669450
8.436870	20.812530
8.456910	21.153570
8.476950	20.867580
8.496990	21.509640
8.517030	21.261090
8.537070	21.078570
8.557110	21.082150
8.577150	20.772530
8.597190	20.037480
8.617230	20.584990
8.637270	20.823830
8.657310	20.464140
8.677350	19.994770
8.697390	19.434390
8.717430	19.080510
8.737470	19.662430
8.757520	20.234710
8.777560	20.357240
8.797600	20.571250
8.817640	21.317210
8.837680	20.054530
8.857720	20.452860
8.877760	20.327200
8.897800	21.125700
8.917840	20.206590
8.937880	19.771310
8.957920	20.632350
8.977960	21.103830
8.998000	20.782630
9.018040	20.285140
9.038080	20.634760
9.058120	19.667860
9.078160	20.543560
9.098200	20.878200
9.118240	19.280640
9.138280	19.525630
9.158320	18.844310
9.178360	19.365300
9.198400	19.616170
9.218440	19.329750
9.238480	18.880060
9.258520	18.985330
9.278560	19.937440
9.298600	19.133240
9.318640	19.330300
9.338680	18.751550
9.358720	19.119580
9.378760	19.307360
9.398800	18.677440
9.418840	18.776310
9.438880	18.605800
9.458920	19.744820
9.478960	18.495640
9.499000	18.418900
9.519040	18.030780
9.539080	17.989650
9.559120	18.156130
9.579160	17.782610
9.599200	18.070600
9.619240	18.370690
9.639280	17.188640
9.659320	17.727440
9.679360	18.267450
9.699400	17.568950
9.719440	18.915940
9.739480	17.779470
9.759520	16.482300
9.760000	17.124190
9.780000	16.698970
9.800000	15.852750
9.820000	15.457130
9.840000	15.634090
9.860000	15.426220
9.880000	16.558710
9.900000	14.594130
9.920000	14.107220
9.940000	14.285490
9.960000	13.854300
9.980000	15.254320
10.000000	13.165450
10.020000	13.665690
10.040000	12.817220
10.060000	12.664100
10.080000	11.594340
10.100000	12.892010
10.120000	13.125170
10.140000	13.072190
10.160000	13.490380
10.180000	12.614670
10.200000	12.216710
10.220000	11.927280
10.240000	12.536640
10.260000	11.417530
10.280000	11.788930
10.300000	10.176730
10.320000	10.825070
10.340000	11.227800
10.360000	10.458920
10.380000	10.600860
10.400000	10.338290
10.420000	10.665830
10.440000	10.360430
10.460000	10.400120
10.480000	9.877340
10.500000	9.127360
10.520000	9.114310
10.540000	8.884950
10.560000	9.146510
10.580000	8.555650
10.600000	9.265290
10.620000	9.333030
10.640000	9.148830
10.660000	8.414550
10.680000	8.541760
10.700000	8.644440
10.720000	7.853360
10.740000	7.412840
10.760000	7.845340
10.780000	7.427170
10.800000	8.117850
10.820000	7.874040
10.840000	7.397310
10.860000	7.415430
10.880000	7.339440
10.900000	7.846480
10.920000	6.887280
10.940000	6.454790
10.960000	6.994950
10.980000	5.776040
11.000000	5.355210
