#ELEN started at 31-Aug-2012 17:09:11 by	
#Electron Energy: 	T=10.0; P=0.0e+000; M=113; R=50
-0.5	0
-0.49	0.0167
-0.48	0.0167
-0.47	0
-0.46	0.0167
-0.45	0
-0.44	0.0167
-0.43	0.0167
-0.42	0.0167
-0.41	0.0333
-0.4	0.0167
-0.39	0
-0.38	0.0167
-0.37	0.0167
-0.36	0.0167
-0.35	0.0167
-0.34	0
-0.33	0
-0.32	0
-0.31	0
-0.3	0.05
-0.29	0.05
-0.28	0.05
-0.27	0.0333
-0.26	0.0333
-0.25	0.0167
-0.24	0.0333
-0.23	0.05
-0.22	0
-0.21	0.0333
-0.2	0.0167
-0.19	0.0667
-0.18	0.05
-0.17	0.0667
-0.16	0.0167
-0.15	0.0833
-0.14	0.0167
-0.13	0.1333
-0.12	0.05
-0.11	0.0167
-0.1	0.0667
-0.09	0.0833
-0.08	0.0667
-0.07	0.1
-0.06	0.0667
-0.05	0.1
-0.04	0.15
-0.03	0.15
-0.02	0.2333
-0.01	0.4
0	0.45
0.01	0.4167
0.02	0.6
0.03	0.8
0.04	0.95
0.05	0.65
0.06	0.85
0.07	0.9
0.08	0.7167
0.09	0.7667
0.1	0.5833
0.11	0.5
0.12	0.5333
0.13	0.6333
0.14	0.4
0.15	0.6667
0.16	0.4667
0.17	0.4333
0.18	0.4167
0.19	0.5667
0.2	0.45
0.21	0.4167
0.22	0.35
0.23	0.5833
0.24	0.3333
0.25	0.5333
0.26	0.5
0.27	0.4667
0.28	0.6333
0.29	0.4833
0.3	0.45
0.31	0.6333
0.32	0.6833
0.33	0.65
0.34	0.65
0.35	0.7167
0.36	0.7667
0.37	0.9
0.38	0.7167
0.39	1
0.4	0.8667
0.41	0.8167
0.42	0.9667
0.43	0.7
0.44	1.1333
0.45	1
0.46	1.0333
0.47	1.25
0.48	1.0667
0.49	1.3333
0.5	1.3167
0.51	1.35
0.52	1.15
0.53	1.3
0.54	1.45
0.55	1.7667
0.56	1.2833
0.57	1.4667
0.58	1.6333
0.59	1.95
0.6	1.6833
0.61	1.3833
0.62	1.7167
0.63	1.85
0.64	1.6
0.65	2.0667
